name,chamber,state,district,sponsored_bills,cosponsored_bills,bioguide_id,Agriculture_and_Food_self_proportion,Crime_and_Law_Enforcement_self_proportion,Culture_and_Recreation_self_proportion,Economy_and_Finance_self_proportion,Education_and_Social_Services_self_proportion,Environment_and_Natural_Resources_self_proportion,Government_Operations_and_Politics_self_proportion,Health_and_Healthcare_self_proportion,Immigration_and_Civil_Rights_self_proportion,National_Security_and_International_Affairs_self_proportion,Science__Technology__and_Communications_self_proportion,Transportation_and_Infrastructure_self_proportion,Agriculture_and_Food_across_all_proportion,Crime_and_Law_Enforcement_across_all_proportion,Culture_and_Recreation_across_all_proportion,Economy_and_Finance_across_all_proportion,Education_and_Social_Services_across_all_proportion,Environment_and_Natural_Resources_across_all_proportion,Government_Operations_and_Politics_across_all_proportion,Health_and_Healthcare_across_all_proportion,Immigration_and_Civil_Rights_across_all_proportion,National_Security_and_International_Affairs_across_all_proportion,Science__Technology__and_Communications_across_all_proportion,Transportation_and_Infrastructure_across_all_proportion,Agriculture_And_Food_state_self_proportion,Crime_And_Law_Enforcement_state_self_proportion,Culture_And_Recreation_state_self_proportion,Economy_And_Finance_state_self_proportion,Education_And_Social_Services_state_self_proportion,Environment_And_Natural_Resources_state_self_proportion,Government_Operations_And_Politics_state_self_proportion,Health_And_Healthcare_state_self_proportion,Immigration_And_Civil_Rights_state_self_proportion,National_Security_And_International_Affairs_state_self_proportion,Science_Technology_And_Communications_state_self_proportion,Transportation_And_Infrastructure_state_self_proportion,Agriculture_And_Food_state_national_proportion,Crime_And_Law_Enforcement_state_national_proportion,Culture_And_Recreation_state_national_proportion,Economy_And_Finance_state_national_proportion,Education_And_Social_Services_state_national_proportion,Environment_And_Natural_Resources_state_national_proportion,Government_Operations_And_Politics_state_national_proportion,Health_And_Healthcare_state_national_proportion,Immigration_And_Civil_Rights_state_national_proportion,National_Security_And_International_Affairs_state_national_proportion,Science_Technology_And_Communications_state_national_proportion,Transportation_And_Infrastructure_state_national_proportion
"Helmy, George S.",Senate,New Jersey,NaN,6,32,H001097,0.0,0.0,0.0,0.0,0.0,0.1607142857142857,0.0,0.8392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044554455445544556,0.0,0.00185580036326305,0.0,0.0,0.0,0.0,0.0646108663729809,0.0822320117474302,0.302496328928047,0.0704845814977973,0.0337738619676945,0.0631424375917768,0.118942731277533,0.013215859030837,0.0249632892804698,0.0161527165932452,0.0161527165932452,0.1938325991189427,0.0276208411801632,0.0180761781794706,0.0215661641541038,0.0200083368070029,0.0130979498861047,0.0222797927461139,0.009719222462203,0.0070257611241217,0.0087991718426501,0.013530135301353,0.0143603133159268,0.0438538205980066
"Fong, Vince",House of Representatives,California,20.0,4,53,F000480,0.0,0.06474820143884892,0.0,0.0,0.0,0.06474820143884892,0.06474820143884892,0.40287769784172656,0.0,0.14388489208633093,0.19424460431654678,0.06474820143884892,0.0,0.0001946198425741718,0.0,0.0,0.0,0.00014848789823629374,0.00013630993850907217,0.000576540960146606,0.0,0.00017071692572960144,0.0017916390179163902,0.000423728813559322,0.0526932084309133,0.0983606557377049,0.0573770491803278,0.1967213114754098,0.0398126463700234,0.1381733021077283,0.1370023419203747,0.0433255269320843,0.0480093676814988,0.0175644028103044,0.0210772833723653,0.1498829039812646,0.0282485875706214,0.0271142672692059,0.0051298157453936,0.0700291788245102,0.0193621867881549,0.0611398963730569,0.0140388768898488,0.0288836846213895,0.0212215320910973,0.018450184501845,0.0234986945169712,0.0425249169435216
"Scalise, Steve",House of Representatives,Louisiana,1.0,107,978,S001176,0.0,0.07462686567164178,0.0,0.13432835820895522,0.033582089552238806,0.10820895522388059,0.5485074626865671,0.0,0.033582089552238806,0.06716417910447761,0.0,0.0,0.0,0.0004324885390537151,0.0,0.0003604830472833597,0.0001610133104336625,0.0004784610054280576,0.0022263956623148453,0.0,0.0001967514155171283,0.00015364523315664132,0.0,0.0,0.05,0.1166666666666666,0.141025641025641,0.0935897435897435,0.0961538461538461,0.05,0.2512820512820513,0.0666666666666666,0.0641025641025641,0.023076923076923,0.0179487179487179,0.0294871794871794,0.0244821092278719,0.0293737895416397,0.0115159128978224,0.0304293455606502,0.0427107061503416,0.0202072538860103,0.0235181185505159,0.0405932864949258,0.025879917184265,0.022140221402214,0.0182767624020887,0.007641196013289
"Clark, Katherine M.",House of Representatives,Massachusetts,5.0,85,1821,C001101,0.0,0.0,0.09045226130653267,0.04522613065326633,0.5929648241206031,0.04522613065326633,0.13567839195979903,0.0,0.0,0.09045226130653267,0.0,0.0,0.0,0.0,0.0012623606143488324,9.012076182083993e-05,0.0021110634034635753,0.00014848789823629374,0.00040892981552721655,0.0,0.0,0.00015364523315664132,0.0,0.0,0.0584144645340751,0.1015299026425591,0.2322670375521557,0.1098748261474269,0.0598052851182197,0.0417246175243393,0.1376912378303199,0.0417246175243393,0.0445062586926286,0.0222531293463143,0.015299026425591,0.1349095966620306,0.0263653483992467,0.0235635894125242,0.0174832495812395,0.0329303876615256,0.0244874715261959,0.0155440414507772,0.0118790496760259,0.0234192037470726,0.0165631469979296,0.019680196801968,0.0143603133159268,0.0322259136212624
"Booker, Cory A.",Senate,New Jersey,NaN,743,3470,B001288,0.07734018264840183,0.11501141552511414,0.029965753424657533,0.0776255707762557,0.09674657534246577,0.07676940639269406,0.10188356164383562,0.20519406392694065,0.10359589041095889,0.08647260273972603,0.018550228310502282,0.010844748858447486,0.03118885947750029,0.03217821782178217,0.024277456647398842,0.009751550568242928,0.021538852531927062,0.013316831683168318,0.017396813020807957,0.028389797046513468,0.023025689819219788,0.008525365071326075,0.011272979535206382,0.008296943231441048,0.0646108663729809,0.0822320117474302,0.302496328928047,0.0704845814977973,0.0337738619676945,0.0631424375917768,0.118942731277533,0.013215859030837,0.0249632892804698,0.0161527165932452,0.0161527165932452,0.1938325991189427,0.0276208411801632,0.0180761781794706,0.0215661641541038,0.0200083368070029,0.0130979498861047,0.0222797927461139,0.009719222462203,0.0070257611241217,0.0087991718426501,0.013530135301353,0.0143603133159268,0.0438538205980066
"Jeffries, Hakeem S.",House of Representatives,New York,8.0,128,1555,J000294,0.0,0.16463414634146345,0.21951219512195125,0.05487804878048781,0.10975609756097562,0.0,0.16463414634146345,0.0,0.05487804878048781,0.23170731707317074,0.0,0.0,0.0,0.0005838595277225155,0.0025247212286976647,9.012076182083993e-05,0.000322026620867325,0.0,0.00040892981552721655,0.0,0.0001967514155171283,0.0003243621588862427,0.0,0.0,0.049618320610687,0.1755725190839694,0.1857506361323155,0.0750636132315521,0.0432569974554707,0.0216284987277353,0.1374045801526717,0.0216284987277353,0.0572519083969465,0.0356234096692111,0.0190839694656488,0.178117048346056,0.0244821092278719,0.0445448676565526,0.0152847571189279,0.0245935806586077,0.0193621867881549,0.0088082901554404,0.0129589632829373,0.0132708821233411,0.0232919254658385,0.034440344403444,0.0195822454308094,0.0465116279069767
"Amo, Gabe",House of Representatives,Rhode Island,1.0,3,273,A000380,0.01694915254237288,0.1016949152542373,0.01694915254237288,0.11864406779661016,0.06779661016949153,0.05084745762711865,0.0847457627118644,0.0847457627118644,0.06779661016949153,0.35593220338983056,0.01694915254237288,0.01694915254237288,0.0002463189008703268,0.001167719055445031,0.0006311803071744162,0.0006308453327458795,0.00064405324173465,0.00044546369470888124,0.0006815496925453608,0.00046329184297495135,0.0007870056620685132,0.0016132749481447338,0.0005972130059721301,0.000423728813559322,0.0835913312693498,0.0588235294117647,0.3761609907120743,0.0696594427244582,0.0170278637770897,0.0325077399380804,0.0789473684210526,0.0216718266253869,0.0139318885448916,0.0185758513931888,0.0139318885448916,0.2151702786377708,0.0338983050847457,0.012265978050355,0.0254396984924623,0.0187578157565652,0.0062642369020501,0.010880829015544,0.0061195104391648,0.0109289617486338,0.0046583850931677,0.014760147601476,0.0117493472584856,0.0461794019933554
"Pelosi, Nancy",House of Representatives,California,11.0,199,4986,P000197,0.0,0.07287449392712551,0.15384615384615385,0.10931174089068826,0.03643724696356276,0.07287449392712551,0.15384615384615385,0.03643724696356276,0.03643724696356276,0.29149797570850206,0.03643724696356276,0.0,0.0,0.0003892396851483436,0.002664983519180868,0.0002703622854625198,0.0001610133104336625,0.0002969757964725875,0.0005755308514827492,9.265836859499027e-05,0.0001967514155171283,0.0006145809326265653,0.0005972130059721301,0.0,0.0526932084309133,0.0983606557377049,0.0573770491803278,0.1967213114754098,0.0398126463700234,0.1381733021077283,0.1370023419203747,0.0433255269320843,0.0480093676814988,0.0175644028103044,0.0210772833723653,0.1498829039812646,0.0282485875706214,0.0271142672692059,0.0051298157453936,0.0700291788245102,0.0193621867881549,0.0611398963730569,0.0140388768898488,0.0288836846213895,0.0212215320910973,0.018450184501845,0.0234986945169712,0.0425249169435216
"Suozzi, Thomas R.",House of Representatives,New York,3.0,59,2215,S001201,0.015570934256055364,0.06228373702422146,0.0467128027681661,0.1868512110726644,0.015570934256055364,0.03114186851211073,0.10899653979238755,0.14013840830449828,0.0467128027681661,0.314878892733564,0.015570934256055364,0.015570934256055364,0.0002463189008703268,0.0007784793702966872,0.0018935409215232485,0.0010814491418500792,0.0001610133104336625,0.0002969757964725875,0.0009541695695635052,0.0008339253173549123,0.0005902542465513849,0.0015535240241393731,0.0005972130059721301,0.000423728813559322,0.049618320610687,0.1755725190839694,0.1857506361323155,0.0750636132315521,0.0432569974554707,0.0216284987277353,0.1374045801526717,0.0216284987277353,0.0572519083969465,0.0356234096692111,0.0190839694656488,0.178117048346056,0.0244821092278719,0.0445448676565526,0.0152847571189279,0.0245935806586077,0.0193621867881549,0.0088082901554404,0.0129589632829373,0.0132708821233411,0.0232919254658385,0.034440344403444,0.0195822454308094,0.0465116279069767
"Hyde-Smith, Cindy",Senate,Mississippi,NaN,117,1224,H001079,0.053580901856763924,0.09071618037135279,0.009549071618037136,0.15013262599469496,0.12360742705570292,0.12519893899204246,0.06312997347480107,0.21856763925729444,0.052519893899204244,0.06790450928381964,0.035543766578249335,0.009549071618037136,0.011623892277592357,0.013653784733312042,0.0041618497109826595,0.010145914745635105,0.01480399008831565,0.011683168316831683,0.005798937673602652,0.016267867014135674,0.006279733587059943,0.0036014743535634905,0.011619840443981963,0.003930131004366812,0.0601604278074866,0.1804812834224599,0.2366310160427807,0.0748663101604278,0.0588235294117647,0.0307486631016042,0.160427807486631,0.0427807486631016,0.0574866310160427,0.0147058823529411,0.0240641711229946,0.0588235294117647,0.0282485875706214,0.0435765009683666,0.0185301507537688,0.02334305960817,0.0250569476082004,0.0119170984455958,0.0143988480921526,0.0249804839968774,0.0222567287784679,0.013530135301353,0.0234986945169712,0.0146179401993355
"Clyburn, James E.",House of Representatives,South Carolina,6.0,120,2717,C000537,0.0,0.13930348258706465,0.04477611940298507,0.06716417910447761,0.06716417910447761,0.06716417910447761,0.13930348258706465,0.06716417910447761,0.08955223880597014,0.2736318407960199,0.04477611940298507,0.0,0.0,0.0012109679093504021,0.0012623606143488324,0.0002703622854625198,0.00048303993130098755,0.00044546369470888124,0.0008481507285008935,0.0002779751057849708,0.0007870056620685132,0.000938943091512808,0.0011944260119442602,0.0,0.0416666666666666,0.13671875,0.1692708333333333,0.0638020833333333,0.078125,0.0455729166666666,0.2265625,0.0481770833333333,0.0677083333333333,0.0325520833333333,0.015625,0.07421875,0.0200878844946641,0.0338928340865074,0.013609715242881,0.0204251771571488,0.0341685649202733,0.0181347150259067,0.0208783297336213,0.0288836846213895,0.0269151138716356,0.030750307503075,0.0156657963446475,0.0189368770764119
"Maloy, Celeste",House of Representatives,Utah,2.0,17,73,M001228,0.09915611814345993,0.0,0.0,0.08016877637130801,0.0,0.4915611814345992,0.2067510548523207,0.0189873417721519,0.0,0.0,0.06118143459915612,0.04219409282700422,0.0012863320378783732,0.0,0.0,0.00038050988324354635,0.0,0.003844186698784049,0.0014842637748765637,9.265836859499027e-05,0.0,0.0,0.0019243530192435301,0.0009416195856873823,0.0269886363636363,0.1150568181818181,0.3011363636363636,0.0539772727272727,0.0397727272727272,0.0383522727272727,0.2059659090909091,0.015625,0.0482954545454545,0.03125,0.0170454545454545,0.1065340909090909,0.0119271814187068,0.02614590058102,0.0221943048576214,0.0158399333055439,0.0159453302961275,0.0139896373056994,0.017398608111351,0.0085870413739266,0.0175983436853002,0.027060270602706,0.0156657963446475,0.0249169435215946
"Murphy, Gregory F.",House of Representatives,North Carolina,3.0,82,657,M001210,0.02142857142857143,0.030158730158730156,0.02142857142857143,0.14761904761904762,0.04444444444444444,0.014285714285714285,0.10317460317460317,0.2857142857142857,0.02857142857142857,0.28174603174603174,0.0,0.02142857142857143,0.0007389567026109804,0.0008217282242020587,0.0018935409215232485,0.0018624957442973586,0.0010018605982539,0.0002969757964725875,0.0019689213340199313,0.003706334743799611,0.0007870056620685132,0.0030302254317004255,0.0,0.0012711864406779662,0.0444743935309973,0.0539083557951482,0.1469002695417789,0.0485175202156334,0.0444743935309973,0.0795148247978436,0.376010781671159,0.0283018867924528,0.0377358490566037,0.045822102425876,0.0444743935309973,0.0498652291105121,0.0207156308851224,0.012911555842479,0.0114112227805695,0.0150062526052521,0.0187927107061503,0.0305699481865284,0.0334773218142548,0.0163934426229508,0.0144927536231884,0.041820418204182,0.0430809399477806,0.0122923588039867
"Franklin, C. Scott",House of Representatives,Florida,18.0,32,608,F000472,0.14604810996563572,0.05412371134020618,0.007731958762886597,0.10223367697594501,0.03865979381443299,0.07130584192439862,0.16580756013745704,0.1056701030927835,0.05412371134020618,0.2139175257731959,0.03264604810996563,0.007731958762886597,0.004652690349772839,0.0013623388980192027,0.0006311803071744162,0.0011915967396311058,0.0008050665521683125,0.0013693883948458201,0.002923090903583437,0.001266331037464867,0.001377259908619898,0.0021254257253335383,0.00252156602521566,0.000423728813559322,0.0322147651006711,0.0510067114093959,0.1664429530201342,0.1073825503355704,0.0536912751677852,0.1194630872483221,0.261744966442953,0.0308724832214765,0.0657718120805369,0.0093959731543624,0.0134228187919463,0.0885906040268456,0.0150659133709981,0.012265978050355,0.0129815745393634,0.0333472280116715,0.0227790432801822,0.0461139896373057,0.023398128149748,0.0179547228727556,0.0253623188405797,0.008610086100861,0.0130548302872062,0.0219269102990033
"Clyde, Andrew S.",House of Representatives,Georgia,9.0,43,385,C001116,0.0,0.1553398058252427,0.010922330097087379,0.10922330097087378,0.043689320388349516,0.07888349514563106,0.14684466019417475,0.13349514563106796,0.10922330097087378,0.14441747572815533,0.046116504854368925,0.021844660194174758,0.0,0.0027679266499437767,0.0006311803071744162,0.0009012076182083992,0.00064405324173465,0.0010724125983732325,0.0018326113955108591,0.0011324911717165477,0.001967514155171283,0.0010157657080911286,0.00252156602521566,0.000847457627118644,0.0213618157543391,0.1161548731642189,0.1188251001335113,0.0600801068090787,0.0627503337783711,0.0667556742323097,0.3831775700934579,0.0320427236315086,0.0440587449933244,0.0213618157543391,0.0173564753004005,0.0560747663551401,0.010043942247332,0.0280826339573918,0.0093174204355108,0.0187578157565652,0.0267653758542141,0.0259067357512953,0.0344372450203983,0.018735362997658,0.0170807453416149,0.019680196801968,0.0169712793733681,0.013953488372093
"Allen, Rick W.",House of Representatives,Georgia,12.0,51,1238,A000372,0.0158311345646438,0.07124010554089709,0.0,0.2911169744942832,0.12049252418645559,0.14423922603342126,0.04925241864555848,0.1029023746701847,0.04133685136323659,0.12049252418645559,0.04309586631486368,0.0,0.0004926378017406536,0.001751578583167546,0.0,0.0033144413514108904,0.0024509803921568627,0.0027057794789724634,0.0008481507285008935,0.0012045587917348735,0.0010274796143672257,0.00116941094124777,0.0032514930325149307,0.0,0.0213618157543391,0.1161548731642189,0.1188251001335113,0.0600801068090787,0.0627503337783711,0.0667556742323097,0.3831775700934579,0.0320427236315086,0.0440587449933244,0.0213618157543391,0.0173564753004005,0.0560747663551401,0.010043942247332,0.0280826339573918,0.0093174204355108,0.0187578157565652,0.0267653758542141,0.0259067357512953,0.0344372450203983,0.018735362997658,0.0170807453416149,0.019680196801968,0.0169712793733681,0.013953488372093
